"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"IN009012800","BANGALORE HINDUSTAN, IN","2016-01-01",,"71",,"60"
"IN009012800","BANGALORE HINDUSTAN, IN","2016-01-02",,"69","81","55"
"IN009012800","BANGALORE HINDUSTAN, IN","2016-01-03",,"70","82","57"
"IN009012800","BANGALORE HINDUSTAN, IN","2016-01-04",,"69","82","58"
"IN009012800","BANGALORE HINDUSTAN, IN","2016-01-05",,"69","82","59"
"IN009012800","BANGALORE HINDUSTAN, IN","2016-01-06",,"71","83","59"
"IN009012800","BANGALORE HINDUSTAN, IN","2016-01-07",,"69","83","63"
"IN009012800","BANGALORE HINDUSTAN, IN","2016-01-08",,"68","81","61"
"IN009012800","BANGALORE HINDUSTAN, IN","2016-01-09",,"67","81","54"
"IN009012800","BANGALORE HINDUSTAN, IN","2016-01-10",,"67","81","56"
"IN009012800","BANGALORE HINDUSTAN, IN","2016-01-11",,"68","81","57"
"IN009012800","BANGALORE HINDUSTAN, IN","2016-01-12",,"68","81","58"
"IN009012800","BANGALORE HINDUSTAN, IN","2016-01-13",,"67","81","59"
"IN009012800","BANGALORE HINDUSTAN, IN","2016-01-14",,"68","82","57"
"IN009012800","BANGALORE HINDUSTAN, IN","2016-01-15",,"67","82","57"
"IN009012800","BANGALORE HINDUSTAN, IN","2016-01-16",,"69","82","60"
"IN009012800","BANGALORE HINDUSTAN, IN","2016-01-17",,"68","83","60"
"IN009012800","BANGALORE HINDUSTAN, IN","2016-01-18",,"72","83","59"
"IN009012800","BANGALORE HINDUSTAN, IN","2016-01-19",,"70","81","64"
"IN009012800","BANGALORE HINDUSTAN, IN","2016-01-20","0.00","70","78","67"
"IN009012800","BANGALORE HINDUSTAN, IN","2016-01-21","0.20","72","84","66"
"IN009012800","BANGALORE HINDUSTAN, IN","2016-01-22","0.00","69","84","64"
"IN009012800","BANGALORE HINDUSTAN, IN","2016-01-23",,"70","80","64"
"IN009012800","BANGALORE HINDUSTAN, IN","2016-01-24",,"71","81","64"
"IN009012800","BANGALORE HINDUSTAN, IN","2016-01-25",,"68","83",
"IN009012800","BANGALORE HINDUSTAN, IN","2016-01-26",,"73","85","66"
"IN009012800","BANGALORE HINDUSTAN, IN","2016-01-27",,"73","85","65"
"IN009012800","BANGALORE HINDUSTAN, IN","2016-01-28",,"73","87","63"
"IN009012800","BANGALORE HINDUSTAN, IN","2016-01-29",,"73","87","64"
"IN009012800","BANGALORE HINDUSTAN, IN","2016-01-30",,"71","86","62"
"IN009012800","BANGALORE HINDUSTAN, IN","2016-01-31",,"74",,"60"
"IN009012800","BANGALORE HINDUSTAN, IN","2016-02-01",,"72","89","59"
"IN009012800","BANGALORE HINDUSTAN, IN","2016-02-02",,"73","89","60"
"IN009012800","BANGALORE HINDUSTAN, IN","2016-02-03",,"73","89","61"
"IN009012800","BANGALORE HINDUSTAN, IN","2016-02-04",,"73","87","63"
"IN009012800","BANGALORE HINDUSTAN, IN","2016-02-08",,"74","87","65"
"IN009012800","BANGALORE HINDUSTAN, IN","2016-02-09",,"74","87","64"
"IN009012800","BANGALORE HINDUSTAN, IN","2016-02-10",,"75","88","64"
"IN009012800","BANGALORE HINDUSTAN, IN","2016-02-11",,"76","89","66"
"IN009012800","BANGALORE HINDUSTAN, IN","2016-02-12",,"75","89","66"
"IN009012800","BANGALORE HINDUSTAN, IN","2016-02-13",,"75","88",
"IN009012800","BANGALORE HINDUSTAN, IN","2016-02-14",,"78","92","63"
"IN009012800","BANGALORE HINDUSTAN, IN","2016-02-15",,"70","86","59"
"IN009012800","BANGALORE HINDUSTAN, IN","2016-02-16",,"74","86","65"
"IN009012800","BANGALORE HINDUSTAN, IN","2016-02-17",,"72","86","62"
"IN009012800","BANGALORE HINDUSTAN, IN","2016-02-18",,"74","86","65"
"IN009012800","BANGALORE HINDUSTAN, IN","2016-02-19",,"77","88","63"
"IN009012800","BANGALORE HINDUSTAN, IN","2016-02-20",,"77","90","65"
"IN009012800","BANGALORE HINDUSTAN, IN","2016-02-21",,"79","93","67"
"IN009012800","BANGALORE HINDUSTAN, IN","2016-02-22",,"82","95","69"
"IN009012800","BANGALORE HINDUSTAN, IN","2016-02-23",,"76","95","64"
"IN009012800","BANGALORE HINDUSTAN, IN","2016-02-24",,"77","92","65"
"IN009012800","BANGALORE HINDUSTAN, IN","2016-02-25",,"78","92","71"
"IN009012800","BANGALORE HINDUSTAN, IN","2016-02-26",,"75","91","67"
"IN009012800","BANGALORE HINDUSTAN, IN","2016-02-27",,"75","87","63"
"IN009012800","BANGALORE HINDUSTAN, IN","2016-02-28",,"78",,"67"
"IN009012800","BANGALORE HINDUSTAN, IN","2016-02-29",,"79","94","65"
"IN009012800","BANGALORE HINDUSTAN, IN","2016-03-01",,"79",,"64"
"IN009012800","BANGALORE HINDUSTAN, IN","2016-03-02",,"75","88","66"
"IN009012800","BANGALORE HINDUSTAN, IN","2016-03-03",,"76","89","65"
"IN009012800","BANGALORE HINDUSTAN, IN","2016-03-04",,"76","91","64"
"IN009012800","BANGALORE HINDUSTAN, IN","2016-03-05",,"75","91","64"
"IN009012800","BANGALORE HINDUSTAN, IN","2016-03-06",,"76","91","64"
"IN009012800","BANGALORE HINDUSTAN, IN","2016-03-07",,"75","91","64"
"IN009012800","BANGALORE HINDUSTAN, IN","2016-03-08",,"76","92","63"
"IN009012800","BANGALORE HINDUSTAN, IN","2016-03-09",,"77","94","63"
